//Used two threads, tried to solve same problem, each in a different thread
//and only one completed properly

[Server@619a5dff]: Startup sequence initiated from main() method
[Server@619a5dff]: Could not load properties from file
[Server@619a5dff]: Using cli/default properties only
[Server@619a5dff]: Initiating startup sequence...
[Server@619a5dff]: Server socket opened successfully in 13 ms.
[Server@619a5dff]: Database [index=0, id=0, db=mem:../database/db, alias=database] opened successfully in 494 ms.
[Server@619a5dff]: Startup sequence completed in 565 ms.
[Server@619a5dff]: 2021-08-15 14:36:03.763 HSQLDB server 2.6.0 is online on port 9001
[Server@619a5dff]: To close normally, connect and execute SHUTDOWN SQL
[Server@619a5dff]: From command line, use [Ctrl]+[C] to abort abruptly
getVariableCount:1629038194855,14,HSQLDB Connection @5945d365
getVariableCount:1629038194916,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038194955,14,HSQLDB Connection @5945d365
getVariableCount:1629038195017,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038195055,14,HSQLDB Connection @5945d365
getVariableCount:1629038195117,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038195156,14,HSQLDB Connection @5945d365
getVariableCount:1629038195218,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038195256,14,HSQLDB Connection @5945d365
getVariableCount:1629038195318,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038195357,14,HSQLDB Connection @5945d365
getVariableCount:1629038195419,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038195457,14,HSQLDB Connection @5945d365
getVariableCount:1629038195519,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038195557,14,HSQLDB Connection @5945d365
getVariableCount:1629038195619,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038195657,14,HSQLDB Connection @5945d365
getVariableCount:1629038195720,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038195758,14,HSQLDB Connection @5945d365
getVariableCount:1629038195820,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038195858,14,HSQLDB Connection @5945d365
getVariableCount:1629038195920,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038195958,14,HSQLDB Connection @5945d365
getVariableCount:1629038196021,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038196059,14,HSQLDB Connection @5945d365
getVariableCount:1629038196124,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038196159,14,HSQLDB Connection @5945d365
getVariableCount:1629038196224,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038196260,14,HSQLDB Connection @5945d365
getVariableCount:1629038196324,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038196360,14,HSQLDB Connection @5945d365
getVariableCount:1629038196425,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038196460,14,HSQLDB Connection @5945d365
getVariableCount:1629038196525,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038196561,14,HSQLDB Connection @5945d365
getVariableCount:1629038196626,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038196661,14,HSQLDB Connection @5945d365
getVariableCount:1629038196726,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038196761,14,HSQLDB Connection @5945d365
getVariableCount:1629038196826,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038196862,14,HSQLDB Connection @5945d365
getVariableCount:1629038196926,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038196962,14,HSQLDB Connection @5945d365
getVariableCount:1629038197027,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038197062,14,HSQLDB Connection @5945d365
getVariableCount:1629038197127,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038197163,14,HSQLDB Connection @5945d365
getVariableCount:1629038197227,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038197263,14,HSQLDB Connection @5945d365
getVariableCount:1629038197328,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038197363,14,HSQLDB Connection @5945d365
getVariableCount:1629038197428,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038197464,14,HSQLDB Connection @5945d365
getVariableCount:1629038197529,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038197564,14,HSQLDB Connection @5945d365
getVariableCount:1629038197629,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038197665,14,HSQLDB Connection @5945d365
getVariableCount:1629038197729,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038197765,14,HSQLDB Connection @5945d365
getVariableCount:1629038197830,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038197866,14,HSQLDB Connection @5945d365
getVariableCount:1629038197930,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038197966,14,HSQLDB Connection @5945d365
getVariableCount:1629038198031,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038198066,14,HSQLDB Connection @5945d365
getVariableCount:1629038198131,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038198167,14,HSQLDB Connection @5945d365
getVariableCount:1629038198231,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038198267,14,HSQLDB Connection @5945d365
getVariableCount:1629038198332,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038198368,14,HSQLDB Connection @5945d365
getVariableCount:1629038198432,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038198468,14,HSQLDB Connection @5945d365
getVariableCount:1629038198532,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038198569,14,HSQLDB Connection @5945d365
getVariableCount:1629038198633,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038198669,14,HSQLDB Connection @5945d365
getVariableCount:1629038198733,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038198769,14,HSQLDB Connection @5945d365
getVariableCount:1629038198833,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038198870,14,HSQLDB Connection @5945d365
getVariableCount:1629038198934,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038198970,14,HSQLDB Connection @5945d365
getVariableCount:1629038199034,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038199070,14,HSQLDB Connection @5945d365
getVariableCount:1629038199134,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038199171,14,HSQLDB Connection @5945d365
getVariableCount:1629038199235,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038199271,14,HSQLDB Connection @5945d365
getVariableCount:1629038199335,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038199371,14,HSQLDB Connection @5945d365
getVariableCount:1629038199436,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038199472,14,HSQLDB Connection @5945d365
getVariableCount:1629038199536,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038199572,14,HSQLDB Connection @5945d365
getVariableCount:1629038199636,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038199673,14,HSQLDB Connection @5945d365
getVariableCount:1629038199737,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038199773,14,HSQLDB Connection @5945d365
getVariableCount:1629038199837,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038199873,14,HSQLDB Connection @5945d365
getVariableCount:1629038199938,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038199974,14,HSQLDB Connection @5945d365
getVariableCount:1629038200038,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038200074,14,HSQLDB Connection @5945d365
getVariableCount:1629038200138,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038200174,14,HSQLDB Connection @5945d365
getVariableCount:1629038200239,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038200274,14,HSQLDB Connection @5945d365
getVariableCount:1629038200339,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038200375,14,HSQLDB Connection @5945d365
getVariableCount:1629038200439,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038200475,14,HSQLDB Connection @5945d365
getVariableCount:1629038200540,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038200575,14,HSQLDB Connection @5945d365
getVariableCount:1629038200640,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038200676,14,HSQLDB Connection @5945d365
getVariableCount:1629038200741,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038200776,14,HSQLDB Connection @5945d365
getVariableCount:1629038200841,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038200876,14,HSQLDB Connection @5945d365
getVariableCount:1629038200941,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038200977,14,HSQLDB Connection @5945d365
getVariableCount:1629038201042,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038201077,14,HSQLDB Connection @5945d365
getVariableCount:1629038201142,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038201177,14,HSQLDB Connection @5945d365
getVariableCount:1629038201243,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038201278,14,HSQLDB Connection @5945d365
getVariableCount:1629038201343,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038201378,14,HSQLDB Connection @5945d365
getVariableCount:1629038201443,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038201478,14,HSQLDB Connection @5945d365
getVariableCount:1629038201544,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038201579,14,HSQLDB Connection @5945d365
getVariableCount:1629038201644,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038201680,14,HSQLDB Connection @5945d365
